Opposing Team,IsHome,Points,Performance Index Rating,Two-point %,Three-point %,Free-throw %,Offensive rebounds,Defensive rebounds,Total rebounds,Assists,Steals,Blocks,Turnovers,Day,Month,Year,Date,target
CSKA Moscow,1,81.0,76.0,42.9,38.5,62.5,13.0,30.0,43.0,20.0,5.0,5.0,19.0,2,1,2015,2015-01-02,0
Nizhny Novgorod,0,78.0,80.0,56.9,33.3,35.7,12.0,21.0,33.0,8.0,6.0,3.0,4.0,9,1,2015,2015-01-09,0
Olympiacos Piraeus,1,68.0,65.0,51.4,39.1,45.5,7.0,19.0,26.0,14.0,5.0,6.0,11.0,16,1,2015,2015-01-16,0
EA7 Emporio Armani Milan,0,82.0,99.0,63.0,21.1,85.7,13.0,20.0,33.0,18.0,9.0,3.0,9.0,22,1,2015,2015-01-22,1
Unicaja Malaga,0,68.0,81.0,57.9,27.8,69.2,8.0,30.0,38.0,16.0,9.0,3.0,15.0,30,1,2015,2015-01-30,0
Laboral Kutxa Vitoria,1,91.0,104.0,57.4,35.7,82.4,12.0,28.0,40.0,17.0,1.0,5.0,12.0,6,2,2015,2015-02-06,1
Anadolu Efes Istanbul,0,77.0,78.0,55.8,25.0,60.7,12.0,26.0,38.0,14.0,4.0,3.0,15.0,13,2,2015,2015-02-13,0
CSKA Moscow,0,81.0,83.0,47.4,34.8,75.0,16.0,27.0,43.0,12.0,2.0,3.0,13.0,27,2,2015,2015-02-27,0
Nizhny Novgorod,1,92.0,122.0,58.5,55.6,77.8,8.0,25.0,33.0,20.0,5.0,5.0,10.0,5,3,2015,2015-03-05,1
Olympiacos Piraeus,0,73.0,83.0,37.5,55.0,52.6,12.0,30.0,42.0,15.0,8.0,2.0,13.0,13,3,2015,2015-03-13,0
EA7 Emporio Armani Milan,1,98.0,129.0,68.3,40.0,82.8,7.0,29.0,36.0,20.0,5.0,2.0,8.0,20,3,2015,2015-03-20,1
Unicaja Malaga,1,78.0,86.0,50.0,38.1,60.0,13.0,26.0,39.0,17.0,5.0,4.0,9.0,26,3,2015,2015-03-26,0
Laboral Kutxa Vitoria,0,76.0,79.0,48.6,46.7,73.1,7.0,25.0,32.0,16.0,2.0,3.0,16.0,2,4,2015,2015-04-02,0
Anadolu Efes Istanbul,1,83.0,95.0,52.4,46.7,85.7,9.0,26.0,35.0,10.0,6.0,2.0,10.0,9,4,2015,2015-04-09,1
Maccabi Electra Tel Aviv,1,80.0,96.0,50.0,31.6,83.3,17.0,22.0,39.0,17.0,10.0,2.0,11.0,14,4,2015,2015-04-14,1
Maccabi Electra Tel Aviv,1,82.0,90.0,55.6,37.9,52.9,12.0,31.0,43.0,20.0,6.0,2.0,12.0,16,4,2015,2015-04-16,1
Maccabi Electra Tel Aviv,0,75.0,80.0,41.9,41.7,50.0,14.0,28.0,42.0,18.0,4.0,4.0,9.0,20,4,2015,2015-04-20,0
Real Madrid,0,87.0,98.0,61.1,38.9,78.6,9.0,25.0,34.0,17.0,2.0,3.0,13.0,15,5,2015,2015-05-15,1
CSKA Moscow,1,80.0,83.0,52.5,40.0,53.8,10.0,21.0,31.0,19.0,8.0,3.0,16.0,17,5,2015,2015-05-17,0
FC Bayern Munich,1,74.0,87.0,44.4,28.6,90.0,16.0,28.0,44.0,15.0,7.0,2.0,13.0,16,10,2015,2015-10-16,0
Strasbourg,0,70.0,66.0,35.9,47.8,75.0,10.0,17.0,27.0,17.0,2.0,2.0,13.0,23,10,2015,2015-10-23,0
Real Madrid,1,77.0,87.0,48.0,36.4,85.0,11.0,24.0,35.0,13.0,8.0,4.0,12.0,30,10,2015,2015-10-30,0
Crvena Zvezda Telekom Belgrade,0,74.0,84.0,50.0,25.0,77.8,17.0,22.0,39.0,15.0,6.0,3.0,11.0,6,11,2015,2015-11-06,0
Khimki Moscow Region,1,88.0,95.0,50.0,35.3,82.4,10.0,25.0,35.0,19.0,6.0,4.0,13.0,13,11,2015,2015-11-13,1
FC Bayern Munich,0,84.0,112.0,57.7,42.4,70.6,8.0,26.0,34.0,21.0,6.0,4.0,8.0,19,11,2015,2015-11-19,1
Strasbourg,1,81.0,90.0,63.4,35.3,55.0,6.0,24.0,30.0,21.0,5.0,2.0,12.0,26,11,2015,2015-11-26,1
Real Madrid,0,73.0,63.0,47.2,28.6,84.0,12.0,23.0,35.0,10.0,2.0,0.0,14.0,3,12,2015,2015-12-03,0
Crvena Zvezda Telekom Belgrade,1,79.0,103.0,52.4,40.0,84.6,4.0,25.0,29.0,16.0,7.0,7.0,7.0,11,12,2015,2015-12-11,1
Khimki Moscow Region,0,70.0,84.0,52.8,42.9,55.6,6.0,23.0,29.0,20.0,10.0,5.0,15.0,17,12,2015,2015-12-17,0
Panathinaikos Athens,1,82.0,97.0,52.8,40.0,80.0,11.0,20.0,31.0,16.0,5.0,7.0,12.0,30,12,2015,2015-12-30,1
Crvena Zvezda Telekom Belgrade,0,88.0,119.0,52.3,43.5,70.6,17.0,29.0,46.0,22.0,10.0,7.0,11.0,8,1,2016,2016-01-08,1
Lokomotiv Kuban Krasnodar,1,85.0,99.0,52.5,37.5,75.8,12.0,25.0,37.0,17.0,7.0,3.0,12.0,14,1,2016,2016-01-14,1
Darussafaka Dogus Istanbul,0,106.0,120.0,64.1,55.0,79.3,12.0,26.0,38.0,17.0,2.0,1.0,13.0,22,1,2016,2016-01-22,1
Cedevita Zagreb,1,86.0,105.0,61.0,40.9,56.3,7.0,20.0,27.0,19.0,6.0,6.0,8.0,28,1,2016,2016-01-28,1
Anadolu Efes Istanbul,0,77.0,88.0,67.6,30.0,60.0,9.0,26.0,35.0,19.0,5.0,7.0,18.0,5,2,2016,2016-02-05,0
Unicaja Malaga,1,80.0,100.0,53.1,55.0,72.2,7.0,32.0,39.0,17.0,2.0,8.0,12.0,11,2,2016,2016-02-11,1
Panathinaikos Athens,0,71.0,75.0,54.5,34.8,73.3,9.0,21.0,30.0,12.0,4.0,5.0,13.0,25,2,2016,2016-02-25,0
Crvena Zvezda Telekom Belgrade,1,72.0,81.0,52.9,40.9,52.9,6.0,29.0,35.0,18.0,3.0,6.0,14.0,4,3,2016,2016-03-04,0
Lokomotiv Kuban Krasnodar,0,55.0,57.0,44.7,33.3,75.0,7.0,30.0,37.0,11.0,4.0,5.0,14.0,10,3,2016,2016-03-10,0
Darussafaka Dogus Istanbul,1,77.0,91.0,57.6,39.1,85.7,8.0,21.0,29.0,16.0,5.0,4.0,10.0,17,3,2016,2016-03-17,1
Cedevita Zagreb,0,59.0,37.0,50.0,17.4,64.3,10.0,19.0,29.0,8.0,5.0,1.0,14.0,25,3,2016,2016-03-25,0
Anadolu Efes Istanbul,1,90.0,102.0,46.3,40.0,88.9,18.0,19.0,37.0,18.0,6.0,4.0,10.0,1,4,2016,2016-04-01,1
Unicaja Malaga,0,67.0,71.0,37.5,41.7,65.0,10.0,23.0,33.0,16.0,4.0,3.0,12.0,8,4,2016,2016-04-08,0
Real Madrid,1,75.0,83.0,50.0,40.0,78.9,6.0,27.0,33.0,10.0,5.0,2.0,13.0,12,4,2016,2016-04-12,0
Real Madrid,1,100.0,119.0,59.5,40.7,70.8,13.0,22.0,35.0,22.0,3.0,4.0,7.0,14,4,2016,2016-04-14,1
Real Madrid,0,75.0,93.0,52.6,29.2,77.8,14.0,32.0,46.0,12.0,5.0,3.0,12.0,19,4,2016,2016-04-19,1
Laboral Kutxa Vitoria Gasteiz,1,88.0,108.0,62.9,31.0,70.8,12.0,30.0,42.0,21.0,5.0,5.0,14.0,13,5,2016,2016-05-13,1
CSKA Moscow,1,96.0,94.0,45.0,36.7,69.2,16.0,22.0,38.0,16.0,6.0,4.0,13.0,15,5,2016,2016-05-15,1
Brose Bamberg,1,67.0,78.0,35.0,50.0,78.3,7.0,26.0,33.0,16.0,5.0,1.0,9.0,14,10,2016,2016-10-14,0
FC Barcelona Lassa,0,73.0,80.0,42.4,52.4,92.3,6.0,19.0,25.0,16.0,7.0,3.0,12.0,21,10,2016,2016-10-21,0
Zalgiris Kaunas,1,82.0,105.0,50.0,47.4,95.5,9.0,21.0,30.0,22.0,5.0,3.0,12.0,26,10,2016,2016-10-26,1
Galatasaray Odeabank Istanbul,0,103.0,125.0,54.0,57.1,76.5,17.0,20.0,37.0,25.0,6.0,2.0,10.0,28,10,2016,2016-10-28,1
Unics Kazan,1,73.0,73.0,46.9,41.7,76.5,7.0,21.0,28.0,18.0,6.0,4.0,14.0,2,11,2016,2016-11-02,0
Baskonia Vitoria Gasteiz,0,52.0,36.0,36.6,15.4,71.4,14.0,21.0,35.0,10.0,5.0,3.0,14.0,11,11,2016,2016-11-11,0
Maccabi FOX Tel Aviv,0,77.0,91.0,47.9,41.2,76.9,10.0,23.0,33.0,18.0,7.0,3.0,18.0,15,11,2016,2016-11-15,1
Anadolu Efes Istanbul,1,88.0,106.0,60.5,42.1,81.8,8.0,26.0,34.0,17.0,8.0,3.0,11.0,17,11,2016,2016-11-17,1
EA7 Emporio Armani Milan,0,79.0,85.0,61.1,31.8,73.7,10.0,23.0,33.0,11.0,7.0,4.0,14.0,24,11,2016,2016-11-24,0
Real Madrid,1,78.0,89.0,54.8,44.4,66.7,6.0,26.0,32.0,23.0,3.0,1.0,12.0,1,12,2016,2016-12-01,0
Crvena Zvezda mts Belgrade,1,87.0,120.0,69.4,46.7,76.2,4.0,34.0,38.0,24.0,3.0,6.0,17.0,8,12,2016,2016-12-08,1
Panathinaikos Superfoods Athens,0,70.0,76.0,45.7,35.3,69.0,10.0,30.0,40.0,13.0,2.0,1.0,12.0,16,12,2016,2016-12-16,0
Darussafaka Dogus Istanbul,1,64.0,62.0,56.1,23.5,54.5,9.0,23.0,32.0,15.0,5.0,5.0,14.0,21,12,2016,2016-12-21,0
CSKA Moscow,0,95.0,108.0,51.1,44.0,72.7,8.0,23.0,31.0,20.0,15.0,6.0,11.0,23,12,2016,2016-12-23,1
Olympiacos Piraeus,0,62.0,61.0,46.2,27.3,72.7,13.0,23.0,36.0,12.0,4.0,4.0,14.0,29,12,2016,2016-12-29,0
EA7 Emporio Armani Milan,1,86.0,108.0,58.5,52.6,57.1,9.0,24.0,33.0,20.0,9.0,3.0,14.0,6,1,2017,2017-01-06,1
Crvena Zvezda mts Belgrade,0,73.0,85.0,57.7,40.7,71.4,4.0,20.0,24.0,20.0,6.0,5.0,10.0,12,1,2017,2017-01-12,0
Panathinaikos Superfoods Athens,1,84.0,105.0,55.0,42.9,86.7,14.0,24.0,38.0,20.0,8.0,3.0,14.0,19,1,2017,2017-01-19,1
Unics Kazan,0,86.0,91.0,62.5,50.0,72.2,6.0,14.0,20.0,22.0,7.0,0.0,10.0,24,1,2017,2017-01-24,1
Galatasaray Odeabank Istanbul,1,85.0,97.0,60.0,50.0,58.3,7.0,19.0,26.0,19.0,5.0,2.0,9.0,26,1,2017,2017-01-26,1
CSKA Moscow,1,77.0,92.0,51.6,26.1,84.4,9.0,27.0,36.0,17.0,6.0,4.0,13.0,2,2,2017,2017-02-02,1
Darussafaka Dogus Istanbul,0,65.0,60.0,56.4,19.0,81.8,9.0,26.0,35.0,11.0,4.0,2.0,12.0,10,2,2017,2017-02-10,0
Olympiacos Piraeus,1,67.0,73.0,37.1,29.6,81.0,14.0,24.0,38.0,13.0,7.0,5.0,9.0,23,2,2017,2017-02-23,0
Zalgiris Kaunas,0,76.0,102.0,57.1,42.9,88.9,4.0,23.0,27.0,22.0,10.0,5.0,9.0,2,3,2017,2017-03-02,1
Baskonia Vitoria Gasteiz,1,74.0,81.0,58.1,30.8,73.7,8.0,20.0,28.0,15.0,10.0,2.0,12.0,9,3,2017,2017-03-09,0
Brose Bamberg,0,83.0,97.0,60.7,43.5,79.2,2.0,29.0,31.0,14.0,4.0,8.0,14.0,16,3,2017,2017-03-16,1
Maccabi FOX Tel Aviv,1,79.0,86.0,50.0,46.4,60.0,10.0,23.0,33.0,20.0,5.0,2.0,12.0,21,3,2017,2017-03-21,0
Anadolu Efes Istanbul,0,77.0,84.0,44.1,34.8,85.2,15.0,20.0,35.0,14.0,11.0,1.0,15.0,23,3,2017,2017-03-23,0
Real Madrid,0,56.0,55.0,38.9,30.4,46.7,11.0,21.0,32.0,12.0,9.0,3.0,10.0,31,3,2017,2017-03-31,0
FC Barcelona Lassa,1,68.0,88.0,48.6,23.1,73.7,13.0,32.0,45.0,15.0,13.0,2.0,17.0,6,4,2017,2017-04-06,0
Panathinaikos Superfoods Athens,0,71.0,83.0,51.7,59.1,50.0,4.0,20.0,24.0,20.0,7.0,7.0,13.0,18,4,2017,2017-04-18,0
Panathinaikos Superfoods Athens,0,80.0,99.0,55.3,50.0,71.4,9.0,24.0,33.0,18.0,4.0,4.0,10.0,20,4,2017,2017-04-20,1
Panathinaikos Superfoods Athens,1,79.0,93.0,50.0,48.1,74.1,7.0,31.0,38.0,16.0,3.0,5.0,19.0,25,4,2017,2017-04-25,1
Real Madrid,1,84.0,108.0,59.5,36.8,90.5,9.0,25.0,34.0,24.0,8.0,3.0,16.0,19,5,2017,2017-05-19,1
Olympiacos Piraeus,1,80.0,108.0,41.9,52.0,78.9,11.0,29.0,40.0,20.0,2.0,9.0,8.0,21,5,2017,2017-05-21,1
Unicaja Malaga,0,67.0,74.0,51.4,50.0,77.8,4.0,24.0,28.0,20.0,4.0,5.0,13.0,12,10,2017,2017-10-12,0
AX Armani Exchange Olimpia Milan,0,92.0,104.0,64.3,40.0,66.7,12.0,26.0,38.0,19.0,2.0,4.0,13.0,19,10,2017,2017-10-19,1
Anadolu Efes Istanbul,1,81.0,101.0,59.0,36.8,73.7,8.0,28.0,36.0,21.0,5.0,5.0,12.0,25,10,2017,2017-10-25,1
Panathinaikos Superfoods Athens,0,68.0,72.0,43.2,53.8,88.2,7.0,28.0,35.0,12.0,5.0,4.0,14.0,27,10,2017,2017-10-27,0
Valencia Basket,1,79.0,100.0,66.7,36.8,60.0,10.0,18.0,28.0,22.0,7.0,1.0,8.0,2,11,2017,2017-11-02,1
Brose Bamberg,0,80.0,108.0,58.1,50.0,87.5,3.0,26.0,29.0,21.0,7.0,6.0,11.0,10,11,2017,2017-11-10,1
Olympiacos Piraeus,1,83.0,89.0,50.0,36.4,87.5,11.0,15.0,26.0,17.0,7.0,4.0,17.0,15,11,2017,2017-11-15,0
CSKA Moscow,0,95.0,109.0,50.9,53.3,78.9,18.0,19.0,37.0,27.0,7.0,3.0,17.0,17,11,2017,2017-11-17,1
Khimki Moscow Region,1,71.0,81.0,43.8,40.9,69.6,11.0,26.0,37.0,15.0,4.0,2.0,13.0,24,11,2017,2017-11-24,0
KIROLBET Baskonia Vitoria Gasteiz,0,83.0,100.0,62.8,31.8,80.0,10.0,22.0,32.0,23.0,9.0,4.0,11.0,30,11,2017,2017-11-30,1
FC Barcelona Lassa,0,83.0,96.0,57.8,36.8,58.8,8.0,25.0,33.0,15.0,8.0,3.0,5.0,8,12,2017,2017-12-08,1
Zalgiris Kaunas,1,89.0,107.0,40.0,52.0,69.2,12.0,13.0,25.0,21.0,8.0,6.0,2.0,14,12,2017,2017-12-14,1
Crvena Zvezda mts Belgrade,1,82.0,113.0,52.5,40.0,94.1,12.0,29.0,41.0,23.0,5.0,4.0,13.0,19,12,2017,2017-12-19,1
Maccabi FOX Tel Aviv,0,73.0,67.0,40.0,28.0,83.3,14.0,19.0,33.0,14.0,6.0,2.0,10.0,21,12,2017,2017-12-21,0
Real Madrid,1,77.0,76.0,46.5,38.9,80.0,10.0,23.0,33.0,13.0,10.0,2.0,14.0,28,12,2017,2017-12-28,0
KIROLBET Baskonia Vitoria Gasteiz,1,79.0,93.0,44.2,42.1,81.0,13.0,26.0,39.0,19.0,6.0,2.0,13.0,5,1,2018,2018-01-05,1
Valencia Basket,0,80.0,91.0,60.0,45.8,62.5,7.0,22.0,29.0,21.0,8.0,2.0,9.0,11,1,2018,2018-01-11,1
Panathinaikos Superfoods Athens,1,67.0,77.0,48.8,26.3,71.4,12.0,26.0,38.0,15.0,2.0,2.0,7.0,17,1,2018,2018-01-17,0
Anadolu Efes Istanbul,0,89.0,107.0,60.0,50.0,76.9,8.0,21.0,29.0,22.0,6.0,11.0,12.0,19,1,2018,2018-01-19,1
FC Barcelona Lassa,1,86.0,107.0,60.0,40.0,74.1,10.0,22.0,32.0,22.0,6.0,1.0,11.0,26,1,2018,2018-01-26,1
Olympiacos Piraeus,0,70.0,65.0,43.2,40.9,78.6,15.0,14.0,29.0,15.0,6.0,5.0,18.0,1,2,2018,2018-02-01,0
Brose Bamberg,1,77.0,100.0,66.7,19.0,81.0,12.0,23.0,35.0,17.0,10.0,2.0,10.0,9,2,2018,2018-02-09,1
AX Armani Exchange Olimpia Milan,1,89.0,114.0,60.5,56.3,90.9,7.0,26.0,33.0,23.0,5.0,3.0,11.0,22,2,2018,2018-02-22,1
Real Madrid,0,86.0,88.0,41.2,65.0,82.6,8.0,21.0,29.0,16.0,7.0,0.0,13.0,2,3,2018,2018-03-02,0
Zalgiris Kaunas,0,85.0,101.0,56.3,44.4,100.0,3.0,19.0,22.0,25.0,4.0,4.0,10.0,9,3,2018,2018-03-09,1
CSKA Moscow,1,79.0,98.0,75.9,31.6,77.3,5.0,27.0,32.0,21.0,3.0,4.0,18.0,16,3,2018,2018-03-16,1
Maccabi FOX Tel Aviv,1,87.0,106.0,46.5,52.4,73.7,11.0,27.0,38.0,22.0,8.0,1.0,7.0,20,3,2018,2018-03-20,1
Crvena Zvezda mts Belgrade,0,80.0,102.0,51.9,58.3,71.4,4.0,26.0,30.0,22.0,7.0,1.0,12.0,22,3,2018,2018-03-22,1
Khimki Moscow Region,0,73.0,89.0,48.4,35.0,81.5,14.0,24.0,38.0,16.0,3.0,3.0,12.0,29,3,2018,2018-03-29,0
Unicaja Malaga,1,91.0,96.0,60.5,45.8,85.7,10.0,22.0,32.0,24.0,6.0,2.0,21.0,5,4,2018,2018-04-05,1
KIROLBET Baskonia Vitoria Gasteiz,1,82.0,100.0,54.5,47.6,88.9,12.0,22.0,34.0,21.0,8.0,2.0,17.0,18,4,2018,2018-04-18,1
KIROLBET Baskonia Vitoria Gasteiz,1,95.0,113.0,67.6,34.8,80.6,9.0,25.0,34.0,15.0,8.0,1.0,12.0,20,4,2018,2018-04-20,1
KIROLBET Baskonia Vitoria Gasteiz,0,83.0,93.0,51.5,48.0,68.4,9.0,19.0,28.0,19.0,4.0,3.0,10.0,24,4,2018,2018-04-24,1
KIROLBET Baskonia Vitoria Gasteiz,0,92.0,104.0,55.9,35.7,88.9,12.0,15.0,27.0,21.0,11.0,2.0,11.0,26,4,2018,2018-04-26,1
Zalgiris Kaunas,1,76.0,77.0,57.1,38.9,63.6,9.0,13.0,22.0,16.0,13.0,3.0,10.0,18,5,2018,2018-05-18,0
Real Madrid,0,80.0,82.0,53.8,35.0,85.0,10.0,19.0,29.0,17.0,4.0,2.0,12.0,20,5,2018,2018-05-20,0
Herbalife Gran Canaria,1,97.0,126.0,64.4,35.3,84.0,11.0,28.0,39.0,23.0,6.0,1.0,10.0,12,10,2018,2018-10-12,1
Khimki Moscow Region,1,93.0,116.0,69.7,61.1,73.7,6.0,23.0,29.0,18.0,9.0,3.0,17.0,17,10,2018,2018-10-17,1
Zalgiris Kaunas,0,82.0,100.0,57.1,47.8,94.4,7.0,12.0,19.0,21.0,6.0,2.0,10.0,19,10,2018,2018-10-19,1
Anadolu Efes Istanbul,0,83.0,102.0,67.4,29.4,76.9,6.0,22.0,28.0,26.0,5.0,2.0,8.0,25,10,2018,2018-10-25,1
